Delivery Date,Hour,Ontario,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West
2024-04-30,9,137.26212709327623,0.008275065116636534,0.37445851804939834,179.65195391548704,179.651953915487,152.05246029970925,166.30293968843267,0.2808528341133646,240.38839036166007,125.23859580491023,457.19843431895305
2024-04-30,10,144.2453602021341,0.037464247293466764,1.6841011235955057,186.56547949434142,186.56547949434142,152.32474792740308,168.97956606276327,0.24399614829080407,247.19671494946067,119.51368937748288,459.4620559139786
2024-04-30,11,151.2163234173118,0.037242674937106694,1.6764524103831886,212.32550792381585,212.32550792381585,158.70446527012126,161.8210345843081,0.24026291931097007,227.71795668344967,122.75486418759445,441.41929933665006
2024-04-30,12,153.6366678130307,0.20229475838256208,9.031213653603038,218.65336630697587,218.6533663069759,160.24249506254114,164.8826619842783,0.2284049079754601,228.72110073875376,122.08200938597089,428.3164817813767
2024-04-30,13,152.07285518060752,0.35077697501911387,15.395100323624598,212.61738432606452,212.61738432606455,156.32487804878048,171.60664853529994,0.2118043377941855,234.12464021545517,121.96285524988133,430.6680058528427
2024-04-30,14,149.67081489019054,0.05785752688172043,2.499445161290323,212.5464754704742,212.54647547047418,161.63347911655373,162.41215012620324,0.20451628126474752,220.538018152872,111.0798517105589,416.8120369609856
2024-04-30,15,141.84519148208688,0.0014178384471701954,0.06040396881644224,201.45825821238904,201.45825821238907,150.815601799775,153.64892083099295,0.2097827071072884,200.47236250898695,107.4461933014161,404.015280334728
2024-04-30,16,138.24597186268284,0.001100486290160293,0.04780198019801982,201.28997817989716,201.28997817989713,148.95440877232653,153.82048295318518,0.2066397487662629,204.1659469888167,98.4297507667694,396.5106895127994
2024-04-30,17,135.2637537172946,0.0010808020719263428,0.04817906836055657,193.8977543037304,193.89775430373032,144.17469700434484,155.55920157867658,0.199263110307414,216.12060138220437,104.46310873164904,414.6499057815845
2024-04-30,18,136.21270683436785,0.000744075033950361,0.033236768802228416,198.64136559011007,198.64136559011004,142.9630554283097,138.25464744008445,0.20277217741935483,207.8823670868925,94.83699701496776,406.2818395461913
