Delivery Date,Hour,Consumption-based EF (g CO2e/kWh)
2023-01-01,1,4.544287613826985
2023-01-01,2,4.695638438105788
2023-01-01,3,4.658158192989822
2023-01-01,4,4.605871279886264
2023-01-01,5,5.370590087066836
2023-01-01,6,8.430765468872153
2023-01-01,7,19.216814182950163
2023-01-01,8,32.620050623424405
2023-01-01,9,40.59651736617129
2023-01-01,10,44.49211507329324
2023-01-01,11,52.78750092152857
2023-01-01,12,55.31589131646232
2023-01-01,13,57.78636654391796
2023-01-01,14,52.91370165134118
2023-01-01,15,37.47568491274363
2023-01-01,16,38.21251628913936
2023-01-01,17,48.46599287218694
2023-01-01,18,58.52902041470861
2023-01-01,19,57.28059562799364
2023-01-01,20,43.77857865676502
2023-01-01,21,36.52558218431615
2023-01-01,22,35.965388519703666
2023-01-01,23,26.4090960421378
2023-01-01,24,12.337164873389192
2023-01-02,1,4.498527445757978
2023-01-02,2,4.601500086574596
2023-01-02,3,4.538021536755936
2023-01-02,4,10.397455904492677
2023-01-02,5,28.534679984207294
2023-01-02,6,49.298628328051414
2023-01-02,7,59.491685752216064
2023-01-02,8,66.53205520480623
2023-01-02,9,66.61615500530398
2023-01-02,10,64.0457644485319
2023-01-02,11,62.7354227765098
2023-01-02,12,62.65100566207021
2023-01-02,13,66.26917405143936
2023-01-02,14,66.26078746677955
2023-01-02,15,62.842008602991314
2023-01-02,16,64.63198598083552
2023-01-02,17,71.57967534383111
2023-01-02,18,77.91761941571579
2023-01-02,19,77.25976530617135
2023-01-02,20,74.07292814216513
2023-01-02,21,53.20441292815092
2023-01-02,22,37.55296590336632
2023-01-02,23,23.79868303739852
2023-01-02,24,18.54863488358786
2023-01-03,1,21.21477599629776
2023-01-03,2,22.38731483998522
2023-01-03,3,18.577072010877178
2023-01-03,4,18.387431210887044
2023-01-03,5,24.53565246119141
2023-01-03,6,42.70916795421585
2023-01-03,7,58.15690351753991
2023-01-03,8,63.45606993235077
2023-01-03,9,61.08634007817492
2023-01-03,10,61.571667390360396
2023-01-03,11,63.42236161804586
2023-01-03,12,66.6349367810226
2023-01-03,13,68.53107463838911
2023-01-03,14,67.94906906707435
2023-01-03,15,74.65283179151692
2023-01-03,16,73.98142677649533
2023-01-03,17,73.04278847530048
2023-01-03,18,68.97115985863476
2023-01-03,19,58.33297936151694
2023-01-03,20,56.16006136470849
2023-01-03,21,50.57909439639201
2023-01-03,22,39.79462420706119
2023-01-03,23,14.089940433887957
2023-01-03,24,7.771398429291466
2023-01-04,1,13.92788143202839
2023-01-04,2,19.170360488673282
2023-01-04,3,18.160274052578128
2023-01-04,4,18.239805436169448
2023-01-04,5,21.826793790241762
2023-01-04,6,32.415055176649396
2023-01-04,7,37.7478484198154
2023-01-04,8,48.690037472053255
2023-01-04,9,51.54384893777477
2023-01-04,10,51.31701165473587
2023-01-04,11,63.45473856712297
2023-01-04,12,66.878539020225
2023-01-04,13,67.1949490064163
2023-01-04,14,64.67198583080662
2023-01-04,15,64.09333697806304
2023-01-04,16,55.220897676529646
2023-01-04,17,51.71304514053308
2023-01-04,18,55.253275883396384
2023-01-04,19,51.97710890573931
2023-01-04,20,50.616117859316674
2023-01-04,21,51.35660929059068
2023-01-04,22,36.5164288318191
2023-01-04,23,26.668775866207877
2023-01-04,24,11.090107605706363
2023-01-05,1,4.291530457338483
2023-01-05,2,4.270941054619234
2023-01-05,3,4.293695262767857
2023-01-05,4,7.683603365186531
2023-01-05,5,14.043884102063597
2023-01-05,6,24.09808993283663
2023-01-05,7,31.144396461857482
2023-01-05,8,41.79650087052222
2023-01-05,9,48.0890597400565
2023-01-05,10,52.10225768697813
2023-01-05,11,65.71570971543449
2023-01-05,12,92.53190778930673
2023-01-05,13,99.96278383970466
2023-01-05,14,102.64416378878614
2023-01-05,15,91.68740787244776
2023-01-05,16,92.97215947104127
2023-01-05,17,104.46615544991673
2023-01-05,18,108.35076491883481
2023-01-05,19,103.84562744379711
2023-01-05,20,94.52828179601764
2023-01-05,21,94.51593522131095
2023-01-05,22,69.38866657641309
2023-01-05,23,69.25100972680428
2023-01-05,24,58.00484898326515
2023-01-06,1,55.27788185462861
2023-01-06,2,56.622645929122434
2023-01-06,3,72.1352214931355
2023-01-06,4,82.22946407426127
2023-01-06,5,75.97594622985702
2023-01-06,6,78.30609339003968
2023-01-06,7,87.50957314290211
2023-01-06,8,101.44571680020432
2023-01-06,9,111.83382847011377
2023-01-06,10,118.24844452998697
2023-01-06,11,110.12277038696676
2023-01-06,12,113.6705285769146
2023-01-06,13,112.76982294871081
2023-01-06,14,107.36507562302155
2023-01-06,15,101.3497418121374
2023-01-06,16,103.66236372446917
2023-01-06,17,108.10207281164489
2023-01-06,18,110.71653712377926
2023-01-06,19,105.11925207581969
2023-01-06,20,93.18296685104187
2023-01-06,21,90.83637297701732
2023-01-06,22,88.33712138061577
2023-01-06,23,75.54418112179313
2023-01-06,24,65.1146393041529
2023-01-07,1,42.23324632897709
2023-01-07,2,31.981095454362013
2023-01-07,3,24.78180905270961
2023-01-07,4,24.70061851011235
2023-01-07,5,32.590158289989624
2023-01-07,6,38.49545352599292
2023-01-07,7,51.63538238745677
2023-01-07,8,63.88056021230379
2023-01-07,9,62.7860273229016
2023-01-07,10,69.8441196568579
2023-01-07,11,77.75851280136665
2023-01-07,12,80.48923064781381
2023-01-07,13,77.52143700229522
2023-01-07,14,73.00786000293047
2023-01-07,15,68.20299807573915
2023-01-07,16,70.14783012120374
2023-01-07,17,77.42667376414583
2023-01-07,18,87.69562946291393
2023-01-07,19,87.22862859202942
2023-01-07,20,82.39929875789129
2023-01-07,21,82.3913621530477
2023-01-07,22,81.36100245109851
2023-01-07,23,81.15854209680508
2023-01-07,24,66.80715971307423
2023-01-08,1,58.03249778946595
2023-01-08,2,54.960122730523594
2023-01-08,3,60.90954366801248
2023-01-08,4,67.2516755850096
2023-01-08,5,61.8194108910449
2023-01-08,6,65.03111404813245
2023-01-08,7,67.39727390417221
2023-01-08,8,66.76567677528767
2023-01-08,9,71.34960505863073
2023-01-08,10,73.82874250474262
2023-01-08,11,82.15405825174432
2023-01-08,12,97.90913826508051
2023-01-08,13,87.64928426021206
2023-01-08,14,76.75296370746422
2023-01-08,15,74.03131107047382
2023-01-08,16,77.74804794574042
2023-01-08,17,91.94569554603466
2023-01-08,18,110.62814204071277
2023-01-08,19,101.69110344922791
2023-01-08,20,96.29063615598629
2023-01-08,21,90.80779339014735
2023-01-08,22,86.78587192401315
2023-01-08,23,64.06881068953797
2023-01-08,24,33.98769334650588
2023-01-09,1,19.30131426035007
2023-01-09,2,18.42305111362411
2023-01-09,3,21.21690256139997
2023-01-09,4,20.119321333624377
2023-01-09,5,33.950985056574
2023-01-09,6,51.8066424042987
2023-01-09,7,64.62546100949525
2023-01-09,8,66.28540533074596
2023-01-09,9,65.66249851241443
2023-01-09,10,63.40498567191191
2023-01-09,11,63.75303822380017
2023-01-09,12,64.6072792416466
2023-01-09,13,60.701905875580835
2023-01-09,14,59.78177888467295
2023-01-09,15,52.1944810798414
2023-01-09,16,53.41160237865855
2023-01-09,17,64.53704186663077
2023-01-09,18,68.53567543238373
2023-01-09,19,68.45843697496406
2023-01-09,20,71.10147721678945
2023-01-09,21,53.1852138876818
2023-01-09,22,43.27555708148469
2023-01-09,23,35.58413046504218
2023-01-09,24,23.231343708696112
2023-01-10,1,16.96462604891206
2023-01-10,2,20.279917270761146
2023-01-10,3,30.16678476171346
2023-01-10,4,45.40100212554319
2023-01-10,5,56.93872023235421
2023-01-10,6,60.960956322330354
2023-01-10,7,69.76080537365526
2023-01-10,8,85.18491982975466
2023-01-10,9,91.902703559696
2023-01-10,10,71.72580769691781
2023-01-10,11,70.62709486457312
2023-01-10,12,67.69983326170056
2023-01-10,13,61.99870019529894
2023-01-10,14,62.37206326462632
2023-01-10,15,65.00693592186859
2023-01-10,16,77.57202064087086
2023-01-10,17,97.01605153174054
2023-01-10,18,103.03899732216446
2023-01-10,19,101.05001921504825
2023-01-10,20,96.3132815650445
2023-01-10,21,84.82503503193672
2023-01-10,22,75.09353751629668
2023-01-10,23,62.906620293219554
2023-01-10,24,45.7421908349687
2023-01-11,1,29.61171138232775
2023-01-11,2,22.186764913468384
2023-01-11,3,24.59282142998907
2023-01-11,4,30.574199109157654
2023-01-11,5,44.256034143792405
2023-01-11,6,53.83233337047135
2023-01-11,7,68.0145255691726
2023-01-11,8,78.56531282532335
2023-01-11,9,90.96051323559176
2023-01-11,10,89.9074917701031
2023-01-11,11,91.20558723564132
2023-01-11,12,95.51360125447076
2023-01-11,13,105.45663859619948
2023-01-11,14,94.19556242915571
2023-01-11,15,79.8558183808774
2023-01-11,16,85.79480030996847
2023-01-11,17,80.41694856114502
2023-01-11,18,77.8735914999946
2023-01-11,19,78.36475007573274
2023-01-11,20,78.06436024575393
2023-01-11,21,86.76590095186643
2023-01-11,22,79.01351344492022
2023-01-11,23,59.04064059280524
2023-01-11,24,43.379826138779706
2023-01-12,1,26.201707280278622
2023-01-12,2,23.449399863134825
2023-01-12,3,23.538366649821164
2023-01-12,4,28.4170940577189
2023-01-12,5,34.786898264423485
2023-01-12,6,46.554464100315826
2023-01-12,7,62.73938428509691
2023-01-12,8,85.78543584108175
2023-01-12,9,91.38702672048227
2023-01-12,10,85.54968484632309
2023-01-12,11,85.43289829690342
2023-01-12,12,95.83929255453748
2023-01-12,13,97.40134899994848
2023-01-12,14,90.60909166955967
2023-01-12,15,75.01506813044587
2023-01-12,16,70.66625475839179
2023-01-12,17,69.16435461923236
2023-01-12,18,67.00341485117654
2023-01-12,19,59.75000880622857
2023-01-12,20,45.422312204693654
2023-01-12,21,21.685417277184587
2023-01-12,22,13.830767787591522
2023-01-12,23,5.7211579478797825
2023-01-12,24,3.9176067675920905
2023-01-13,1,4.037431337868031
