Delivery Date,Hour,Consumption-based EF (g CO2e/kWh)
2024-01-01,1,74.00869489150647
2024-01-01,2,71.4912761275213
2024-01-01,3,62.800319621396234
2024-01-01,4,52.138623294515085
2024-01-01,5,50.70430289882192
2024-01-01,6,49.39848656023622
2024-01-01,7,51.61162186745884
2024-01-01,8,56.88743970317966
2024-01-01,9,59.30640111878983
2024-01-01,10,71.89121250180925
2024-01-01,11,84.97879376207639
2024-01-01,12,93.74074872408895
2024-01-01,13,95.1729357091278
2024-01-01,14,101.91782231372065
2024-01-01,15,112.09583409309754
2024-01-01,16,105.45567018656787
2024-01-01,17,107.15690766617242
2024-01-01,18,115.98039894675061
2024-01-01,19,116.01405576687341
2024-01-01,20,102.6259289069762
2024-01-01,21,102.7931872653478
2024-01-01,22,103.09754129372055
2024-01-01,23,95.56170006400313
2024-01-01,24,83.48951776087367
2024-01-02,1,56.72152256706752
2024-01-02,2,55.09595934639311
2024-01-02,3,45.81648732618044
2024-01-02,4,44.925976505528475
2024-01-02,5,43.90531482146263
2024-01-02,6,55.520340116790635
2024-01-02,7,58.30512447874835
2024-01-02,8,59.34552015409804
2024-01-02,9,61.73147235893561
2024-01-02,10,61.835521955747396
2024-01-02,11,62.156296129212215
2024-01-02,12,70.30821614210792
2024-01-02,13,64.2960296584781
2024-01-02,14,59.92712304787996
2024-01-02,15,66.6684281968095
2024-01-02,16,71.7647384520199
2024-01-02,17,74.20993811294234
2024-01-02,18,86.32859589174538
2024-01-02,19,87.59255984659072
2024-01-02,20,89.96794419494366
2024-01-02,21,92.21349249026238
2024-01-02,22,97.18966344854472
2024-01-02,23,83.46998838066634
2024-01-02,24,69.02003086351426
2024-01-03,1,59.37993268658887
2024-01-03,2,65.18362070413926
2024-01-03,3,70.1509157552767
2024-01-03,4,77.9045285971012
2024-01-03,5,86.46032852657719
2024-01-03,6,103.54548835611764
2024-01-03,7,110.39146131429986
2024-01-03,8,118.57550702399857
2024-01-03,9,118.85439079168222
2024-01-03,10,126.02181831410758
2024-01-03,11,128.34851567702253
2024-01-03,12,131.29332956733523
2024-01-03,13,134.02585822347362
2024-01-03,14,130.69721781072352
2024-01-03,15,130.693025140654
2024-01-03,16,133.4124481815321
2024-01-03,17,129.8310987480308
2024-01-03,18,123.99575206109365
2024-01-03,19,121.84244558960427
2024-01-03,20,125.54148780135826
2024-01-03,21,108.48639151880866
2024-01-03,22,111.15539147738467
2024-01-03,23,93.14564137041478
2024-01-03,24,73.8556429927316
2024-01-04,1,62.375422756068886
2024-01-04,2,62.39943804496649
2024-01-04,3,65.25283701691555
2024-01-04,4,67.46094401844255
2024-01-04,5,77.11956241180184
2024-01-04,6,82.87128294596994
2024-01-04,7,87.79193973395228
2024-01-04,8,102.59195191099494
2024-01-04,9,109.34469739273992
2024-01-04,10,115.64845373110123
2024-01-04,11,121.24794880006367
2024-01-04,12,118.10302983411243
2024-01-04,13,119.95562221966338
2024-01-04,14,119.57661203076107
2024-01-04,15,126.4462881860384
2024-01-04,16,127.82515800069086
2024-01-04,17,140.16458597361168
2024-01-04,18,140.63352574930454
2024-01-04,19,135.8332382496188
2024-01-04,20,144.25457557630804
2024-01-04,21,145.02173744055364
2024-01-04,22,138.2011931953365
2024-01-04,23,129.2625641997042
2024-01-04,24,130.38560420581777
2024-01-05,1,126.76042107829518
2024-01-05,2,114.28709531089758
2024-01-05,3,111.75394490284094
2024-01-05,4,106.86609336342059
2024-01-05,5,108.82454201725655
2024-01-05,6,118.78582299842563
2024-01-05,7,125.24497016467409
2024-01-05,8,125.58775104998249
2024-01-05,9,131.79839422309198
2024-01-05,10,129.75331861664407
2024-01-05,11,129.3062777657835
2024-01-05,12,133.97601618089865
2024-01-05,13,133.89969005401815
2024-01-05,14,135.326126789755
2024-01-05,15,139.75810689001378
2024-01-05,16,135.45021140055422
2024-01-05,17,135.20127549881474
2024-01-05,18,130.23515845862497
2024-01-05,19,124.47958056240851
2024-01-05,20,136.02023238626472
2024-01-05,21,147.7351421596169
2024-01-05,22,149.5060479251392
2024-01-05,23,151.88522849887772
2024-01-05,24,146.76847816027862
2024-01-06,1,137.01064683841997
2024-01-06,2,124.10971457631622
2024-01-06,3,116.7039957381105
2024-01-06,4,115.54845433542533
