Delivery Date,Hour,Consumption-based EF (g CO2e/kWh)
2021-01-01,1,11.176402647777987
2021-01-01,2,8.52297658869703
2021-01-01,3,7.6035442163426845
2021-01-01,4,7.697138306987576
2021-01-01,5,10.510289989620812
2021-01-01,6,10.536074277065728
2021-01-01,7,8.606266002735167
2021-01-01,8,7.578567067768753
2021-01-01,9,9.580025844867608
2021-01-01,10,7.220398218951302
2021-01-01,11,8.470286302346903
2021-01-01,12,7.6539033127103915
2021-01-01,13,10.368222394315483
2021-01-01,14,10.681625084870728
2021-01-01,15,13.338967232414772
2021-01-01,16,14.276971576177576
2021-01-01,17,13.329573099963525
2021-01-01,18,12.647177612964075
2021-01-01,19,12.50495410819724
2021-01-01,20,12.582405779604374
2021-01-01,21,12.491621658725169
2021-01-01,22,9.376174669526119
2021-01-01,23,6.43564190434502
2021-01-01,24,6.72552853369059
2021-01-02,1,9.5005435365809
2021-01-02,2,9.301034662542559
2021-01-02,3,8.216929078075669
2021-01-02,4,7.878146050306973
2021-01-02,5,9.227885556588262
2021-01-02,6,7.947186196306905
2021-01-02,7,9.776356573928737
2021-01-02,8,9.74702359915699
2021-01-02,9,12.037172994967655
2021-01-02,10,12.929641427496332
2021-01-02,11,17.41245755018536
2021-01-02,12,30.792158624286085
2021-01-02,13,33.774745560569734
2021-01-02,14,40.18909868364915
2021-01-02,15,48.43852001271167
2021-01-02,16,48.298374844018724
2021-01-02,17,45.75231691100671
2021-01-02,18,49.50736344971161
2021-01-02,19,45.747723997636356
2021-01-02,20,45.21963020992915
2021-01-02,21,31.33013654282047
2021-01-02,22,24.018734460891785
2021-01-02,23,15.218348596076487
2021-01-02,24,7.934669276412409
2021-01-03,1,7.040811552388507
2021-01-03,2,7.0950864870589605
2021-01-03,3,7.209478059089917
2021-01-03,4,7.456490635340659
2021-01-03,5,7.85745279341233
2021-01-03,6,10.242377186681491
2021-01-03,7,22.04027241318011
2021-01-03,8,33.159340656179815
2021-01-03,9,43.15560023388646
2021-01-03,10,45.69244552478772
2021-01-03,11,44.32101537752595
2021-01-03,12,42.810780634121365
2021-01-03,13,44.404918298485775
2021-01-03,14,49.77011366949533
2021-01-03,15,53.771619406658594
2021-01-03,16,53.18244448268506
2021-01-03,17,52.37533427119234
2021-01-03,18,50.00615779463062
2021-01-03,19,50.48369695284788
2021-01-03,20,47.06561789432026
2021-01-03,21,43.46719910309017
2021-01-03,22,26.42767378113712
2021-01-03,23,14.666767020150953
2021-01-03,24,8.174295634591457
2021-01-04,1,7.240729990253745
2021-01-04,2,12.123894555864773
2021-01-04,3,21.65726687263583
2021-01-04,4,33.08583344682714
2021-01-04,5,44.38487054838384
2021-01-04,6,56.84607582183203
2021-01-04,7,55.55635543354621
2021-01-04,8,52.84113940612789
2021-01-04,9,57.05360498470467
2021-01-04,10,56.527257532655184
2021-01-04,11,49.90017451506607
2021-01-04,12,49.422668204099594
2021-01-04,13,52.56721589914147
2021-01-04,14,54.719461211098654
2021-01-04,15,53.62862555524087
2021-01-04,16,51.94427139707411
2021-01-04,17,56.26071212108007
2021-01-04,18,66.7293490638371
2021-01-04,19,61.42316602759019
2021-01-04,20,49.80566064996518
2021-01-04,21,42.812959761845
2021-01-04,22,37.74546057328118
2021-01-04,23,27.388528950769228
2021-01-04,24,24.749567670940305
2021-01-05,1,30.699690016392644
2021-01-05,2,36.03877983685595
2021-01-05,3,37.529142232558016
2021-01-05,4,39.98785717154358
2021-01-05,5,44.10503105938791
2021-01-05,6,48.28477566267243
2021-01-05,7,45.8548571798767
2021-01-05,8,45.95987773825528
2021-01-05,9,55.01995647374411
2021-01-05,10,56.26724970679795
2021-01-05,11,63.781606335340484
2021-01-05,12,68.28951241481307
2021-01-05,13,66.18735410726498
2021-01-05,14,71.61346543778076
2021-01-05,15,65.66428489769748
2021-01-05,16,69.27991408506092
2021-01-05,17,70.7154171094178
2021-01-05,18,76.7585533417871
2021-01-05,19,73.43859514383115
2021-01-05,20,73.55686472765784
2021-01-05,21,65.02126425357643
2021-01-05,22,61.93152036345387
2021-01-05,23,38.99783731541716
2021-01-05,24,28.21859839581217
2021-01-06,1,27.999748348132965
2021-01-06,2,29.17027016318011
2021-01-06,3,29.15640366333818
2021-01-06,4,38.51258370584756
2021-01-06,5,48.23260448578754
2021-01-06,6,52.680775272897705
2021-01-06,7,50.29729728823523
2021-01-06,8,48.32692536642533
2021-01-06,9,50.48870595804086
2021-01-06,10,52.71201178781849
2021-01-06,11,62.72620872087414
2021-01-06,12,68.00389729914728
2021-01-06,13,69.74222734663401
2021-01-06,14,65.25417098573564
2021-01-06,15,56.359320414799534
2021-01-06,16,58.518998018934305
2021-01-06,17,57.88629701439578
2021-01-06,18,69.5254561716219
2021-01-06,19,65.98356913392034
2021-01-06,20,49.86812893530662
2021-01-06,21,51.77484381725831
2021-01-06,22,38.72760052560725
2021-01-06,23,29.31225590001464
2021-01-06,24,16.548453907673252
2021-01-07,1,13.171019079230964
2021-01-07,2,15.83776942381841
2021-01-07,3,27.259389969229346
2021-01-07,4,44.8800785843387
2021-01-07,5,57.58618411579539
2021-01-07,6,58.4936266268214
2021-01-07,7,54.02855171340976
2021-01-07,8,49.94567628224504
2021-01-07,9,48.39801151282315
2021-01-07,10,48.40054511620261
2021-01-07,11,49.04512778403777
2021-01-07,12,52.90017212528039
2021-01-07,13,52.41585362920778
2021-01-07,14,52.03311912327521
2021-01-07,15,49.340498600451355
2021-01-07,16,53.54875420232001
2021-01-07,17,53.09214102966403
2021-01-07,18,59.97199873196555
2021-01-07,19,56.321923135001995
2021-01-07,20,47.9227352598774
2021-01-07,21,39.10902384957035
2021-01-07,22,31.765445200661865
2021-01-07,23,30.747022994891143
2021-01-07,24,21.390090226599405
2021-01-08,1,9.731240193350438
2021-01-08,2,7.560135515669178
2021-01-08,3,10.224839600793072
2021-01-08,4,24.648397470147692
2021-01-08,5,43.56885420728422
2021-01-08,6,55.17944897520738
2021-01-08,7,51.46875107920304
2021-01-08,8,50.126617542248574
2021-01-08,9,51.6371052046534
2021-01-08,10,61.44941853595961
2021-01-08,11,58.43782577277958
2021-01-08,12,59.00686968312782
2021-01-08,13,53.96049013204813
2021-01-08,14,54.30756584933854
2021-01-08,15,58.056220362464074
2021-01-08,16,63.9472210467652
2021-01-08,17,61.26771154492777
2021-01-08,18,60.820202281296
2021-01-08,19,57.353542785086326
2021-01-08,20,49.5057106161397
2021-01-08,21,43.10477110781329
2021-01-08,22,32.86957166759795
2021-01-08,23,24.644872721304193
2021-01-08,24,16.73053451465821
2021-01-09,1,9.758158668650147
2021-01-09,2,9.103953647678594
2021-01-09,3,7.894249832455403
2021-01-09,4,9.536271580214043
2021-01-09,5,13.798600921281553
2021-01-09,6,24.529599867717124
2021-01-09,7,31.991838194744602
2021-01-09,8,39.02333569270151
2021-01-09,9,37.042686028722265
2021-01-09,10,38.059156691627855
2021-01-09,11,42.04292801539592
2021-01-09,12,41.50631541626261
2021-01-09,13,42.76861967271506
2021-01-09,14,44.048580290792074
2021-01-09,15,35.571292796728635
2021-01-09,16,36.469494398481025
2021-01-09,17,37.883154410529635
2021-01-09,18,49.7603705396125
2021-01-09,19,54.69624204515939
2021-01-09,20,30.94423220249031
2021-01-09,21,28.28459055158608
2021-01-09,22,27.86544293461076
2021-01-09,23,25.874674454121006
2021-01-09,24,27.177486436657166
2021-01-10,1,17.706932559030182
2021-01-10,2,14.975485230890705
2021-01-10,3,14.931396065854694
2021-01-10,4,16.175113221202423
2021-01-10,5,18.040108239857034
2021-01-10,6,21.44249885930308
2021-01-10,7,25.377710849997246
2021-01-10,8,27.760473391468373
2021-01-10,9,27.695602235991636
2021-01-10,10,30.96891479013763
2021-01-10,11,41.00441577590012
2021-01-10,12,49.52229518654174
2021-01-10,13,49.899723861147486
2021-01-10,14,51.715918487103224
2021-01-10,15,52.941787438321576
2021-01-10,16,55.66046108483198
2021-01-10,17,57.360291367007115
2021-01-10,18,71.31258834637971
2021-01-10,19,59.07523330541646
2021-01-10,20,50.093564245931105
2021-01-10,21,46.24266507233924
2021-01-10,22,41.70950848723956
2021-01-10,23,42.267780867519186
2021-01-10,24,25.525108434897422
2021-01-11,1,14.814377263031183
2021-01-11,2,12.82710614151361
2021-01-11,3,15.735550128885189
2021-01-11,4,25.396306880409057
2021-01-11,5,29.108714498900284
2021-01-11,6,38.03122244928382
2021-01-11,7,36.27080803038111
2021-01-11,8,36.61613460821493
2021-01-11,9,35.974315241108236
2021-01-11,10,35.448648070572524
2021-01-11,11,38.156712570210615
2021-01-11,12,41.536533598342274
2021-01-11,13,43.66471805002172
2021-01-11,14,39.87657405739098
2021-01-11,15,38.23833875863963
2021-01-11,16,37.96379337941978
2021-01-11,17,36.821850511884335
2021-01-11,18,36.21374090329346
2021-01-11,19,31.57825691515274
2021-01-11,20,20.895809508116795
2021-01-11,21,16.91310686818878
2021-01-11,22,12.869051052793802
2021-01-11,23,11.793687187022773
2021-01-11,24,12.482503154306308
2021-01-12,1,12.736746872001596
