Delivery Date,Hour,Consumption-based EF (g CO2e/kWh)
2022-01-01,1,5.771611475734299
2022-01-01,2,6.993315540255061
2022-01-01,3,7.964009772565209
2022-01-01,4,6.948706273724613
2022-01-01,5,4.963868274129949
2022-01-01,6,4.740164113639704
2022-01-01,7,4.652267101437256
2022-01-01,8,4.442133962511469
2022-01-01,9,4.434060205094277
2022-01-01,10,4.284219278237003
2022-01-01,11,4.356459232670522
2022-01-01,12,5.84670911737217
2022-01-01,13,7.430321075909545
2022-01-01,14,10.432939059523681
2022-01-01,15,12.571730683753458
2022-01-01,16,15.947823385305863
2022-01-01,17,15.567317219535266
2022-01-01,18,16.051421677994856
2022-01-01,19,16.240143565924715
2022-01-01,20,16.618128266992578
2022-01-01,21,16.377300175789337
2022-01-01,22,6.586305989001242
2022-01-01,23,4.046338794606796
2022-01-01,24,4.090651382367252
2022-01-02,1,4.032730662963792
2022-01-02,2,4.015110033122149
2022-01-02,3,4.112570182539264
2022-01-02,4,4.254587855133282
2022-01-02,5,5.991797125004219
2022-01-02,6,11.238818176086891
2022-01-02,7,18.720668886707756
2022-01-02,8,31.229669300525046
2022-01-02,9,36.01480731325262
2022-01-02,10,36.29152516831771
2022-01-02,11,36.41040018713598
2022-01-02,12,38.79201314595407
2022-01-02,13,46.87973066890502
2022-01-02,14,43.88772946198043
2022-01-02,15,45.02072112997968
2022-01-02,16,50.0318977194012
2022-01-02,17,51.78872015008002
2022-01-02,18,70.9694967900224
2022-01-02,19,69.23203816464519
2022-01-02,20,66.73841802427634
2022-01-02,21,63.88427918913327
2022-01-02,22,62.09369568152648
2022-01-02,23,59.16945746344362
2022-01-02,24,55.76703371860709
2022-01-03,1,53.366895489895775
2022-01-03,2,53.70840131710547
2022-01-03,3,60.2231164232435
2022-01-03,4,74.62138784509582
2022-01-03,5,73.9111891242584
2022-01-03,6,69.26096120017279
2022-01-03,7,72.42304166156266
2022-01-03,8,93.7045847940299
2022-01-03,9,91.50733581553565
2022-01-03,10,98.41790470444239
2022-01-03,11,111.95859365404482
2022-01-03,12,116.18398416955544
2022-01-03,13,106.89421915012768
2022-01-03,14,101.37771306607182
2022-01-03,15,94.10737566956333
2022-01-03,16,96.3238862924572
2022-01-03,17,104.7596933192188
2022-01-03,18,119.61756994274084
2022-01-03,19,109.51017708800816
2022-01-03,20,87.3310386307055
2022-01-03,21,79.03804423960257
2022-01-03,22,58.75350415048158
2022-01-03,23,35.782024067056675
2022-01-03,24,18.152691141842276
2022-01-04,1,15.192879457595694
2022-01-04,2,15.954041003142468
2022-01-04,3,21.927732429115146
2022-01-04,4,31.851564498561608
2022-01-04,5,50.13794230268583
2022-01-04,6,72.08540434873342
2022-01-04,7,97.49507909687608
2022-01-04,8,99.62478512718441
2022-01-04,9,101.33216640667281
2022-01-04,10,91.77249504634176
2022-01-04,11,71.44485591118412
2022-01-04,12,66.98359441508961
2022-01-04,13,71.59684310968858
2022-01-04,14,58.872844448587536
2022-01-04,15,53.22612746653557
2022-01-04,16,52.305104973199896
2022-01-04,17,54.77204518878854
2022-01-04,18,67.54894295840586
2022-01-04,19,58.55885165109588
2022-01-04,20,58.3466907393048
2022-01-04,21,54.613281752665564
2022-01-04,22,31.778094036833515
2022-01-04,23,27.038920544809773
2022-01-04,24,17.878917152204263
2022-01-05,1,6.852861844034271
