Delivery Date,Ontario,Hour,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West
2022-10-07,46.38750735681147,17,0.0002258562338013676,0.010056289506953224,0.10078907370106273,0.10078907370106269,0.09340125890736344,0.011500043063756864,0.00018835177865612646,0.00024298050774124242,0.09579051891389821,0.06858091920006822
2022-10-07,48.439754187421016,18,0.0002185272411556138,0.00988316510903427,0.1014639305895696,0.10146393058956962,0.1085324862637363,0.016696894183181203,0.00018920657182929272,0.00022951219018443468,0.09652207764047943,0.06638762737495368
2022-10-07,51.87583337842844,19,0.00021735981580976325,0.009840433705080543,0.10357605313854981,0.1035760531385498,0.12554235836627142,0.023062001341392635,0.0001903191278493558,0.0002157660630781962,0.0979620466401371,0.07710615038342945
2022-10-07,51.967082897573924,20,0.00020379878601898958,0.00926004664723032,0.10387022757791181,0.10387022757791181,0.12582805360281196,0.024831441454746642,0.00019879168301294622,0.0002210852167875523,0.09429266249464362,0.06533275758064347
2022-10-07,49.1037348917881,21,0.00020641942542701507,0.008931016282987089,0.11297400056336826,0.11297400056336826,0.10443932376100046,0.018716774489276656,0.00019520371835443038,0.00022505912573553142,0.09441638355322703,0.0606262526517025
2022-10-07,58.55020051131945,22,0.0003036649055096405,0.012742469927826783,0.1036476770736649,0.10364767707366489,0.15290004093327877,0.04637490939484994,0.00020533150337837837,0.00023510297117305235,0.08836495058492316,0.05775076701923644
2022-10-07,57.382904586791895,23,0.0003549232132272183,0.013926140350877194,0.10874763841101033,0.1087476384110103,0.13762135860306648,0.044702572982495074,0.00020761904761904757,0.0003017650696376438,0.08414160424339859,0.05575456624719091
2022-10-07,39.25676629161551,24,0.0015706980365057868,0.017232747014115094,0.05453627228999348,0.05453627228999347,0.09832869198312238,0.023696772092026464,0.0001911178614823815,0.0002170181576513905,0.07080505351420328,0.05108260232791598
2022-10-08,27.764353288669056,1,0.0004770021011106965,0.016750031612223392,0.028167405894437628,0.028167405894437624,0.07475720653789003,0.010448643397473704,0.0001921491904394757,0.00021520527553436908,0.06703131397337508,0.05068083758564932
2022-10-08,33.098335620419654,2,0.00047783292420151114,0.016438842975206612,0.061668091721428765,0.06166809172142879,0.07161336658354113,0.001670970252829585,0.00018772631174322502,0.0002094146470815796,0.0656746856147069,0.06112844562830595
2022-10-08,39.32164634413644,3,0.0004503685786065965,0.01546527131782946,0.08228989011836298,0.08228989011836298,0.07116065901148279,0.0011822294831983445,0.00017867994532317906,0.00020322459284695128,0.07582588263639976,0.05443005149875644
2022-10-08,37.21968785894897,4,0.00047951264704614976,0.016472111801242237,0.07995032974135204,0.07995032974135204,0.06519210925644917,0.0008272295072286925,0.00017422020123839012,0.0002002839381652613,0.06869774480346154,0.053765319084201464
2022-10-08,40.69677643366802,5,0.000493597588471113,0.017437802197802197,0.07961006116819803,0.07961006116819805,0.0857674227799228,0.007481212336673178,0.00017676064668769716,0.00019499960219577212,0.07200053241907393,0.05315956155698696
2022-10-08,51.933550012167814,6,0.00044484752485146535,0.016597638453500527,0.09444771739932006,0.09444771739932008,0.13584839743589744,0.017436998412369977,0.00018144274657670175,0.0002011024255161973,0.08673517108320924,0.05440700237269377
2022-10-08,54.503387764149544,7,0.0003051908957415565,0.011689714285714284,0.11593732035605678,0.11593732035605678,0.148835794044665,0.010950880105202659,0.00019080693365212194,0.00021665682694690754,0.09728024271018837,0.05914113959062112
2022-10-08,56.322245982760016,8,0.0024226924816213046,0.010837082785808146,0.13214847339099234,0.1321484733909923,0.14982864217911682,0.002122169645069249,0.00019006834602616676,0.0002398465333470057,0.09732382386184317,0.07991864430786998
2022-10-08,63.339363214925505,9,0.000560711174269793,0.019030651364764277,0.14812017423601814,0.1481201742360182,0.17135884525660966,0.0075350719571277355,0.00018675290588676414,0.00027914344415898426,0.10026722476473633,0.08702870913615861
2022-10-08,61.28812811124488,10,0.0003562387736450788,0.014341655405405407,0.1426045198447996,0.14260451984479963,0.1698337177482408,0.0057973449603500125,0.00019780039278700226,0.00031062713598132684,0.10103096540692143,0.08418084218715811
2022-10-08,58.284055875176904,11,0.0002682388825025812,0.010997156593406597,0.13259795115154074,0.13259795115154077,0.1681685283987304,0.001559787329995087,0.00020931064420906406,0.0003067665872370408,0.09640192822105227,0.07946211313013288
2022-10-08,44.71263253454209,12,0.00027895756449292276,0.011209151472650771,0.09567118933378681,0.09567118933378685,0.10369497278443798,0.0015461193119212992,0.00021193576238991542,0.0003085120985494312,0.09723583285282629,0.06424884551920472
2022-10-08,30.77356493711184,13,0.000348477411615359,0.01357232795242141,0.05807368658460706,0.058073686584607064,0.03649374722218611,0.001198304858301777,0.00021310775180172258,0.0003156881293669024,0.08425731314893084,0.06896560741842907
2022-10-08,24.71659486315178,14,0.00040426547995805535,0.015962125748502993,0.04438255925491347,0.04438255925491348,0.00044273845663246874,0.0008726295377371934,0.00022664220511902627,0.0003394958446606178,0.07516180777331172,0.06108900012788201
2022-10-08,32.29575917194723,15,0.00039092550980824095,0.015282787821122737,0.0736320763316024,0.0736320763316024,0.029233563972208495,0.0012205019235520798,0.00023261966604823747,0.0005554351714495892,0.07081242059613187,0.06768725671140938
2022-10-08,39.650844577216226,16,0.00030472102881783683,0.012122736921910541,0.09595937041173674,0.09595937041173673,0.049141167188604666,0.0026100937195463127,0.00023044606196341921,0.0016431601716307036,0.07841467233625163,0.06278954898911353
2022-10-08,49.26864971129217,17,0.0003018485835580595,0.012272453846153848,0.13464038975895581,0.13464038975895581,0.0700493395565528,0.004120115858673486,0.00023599352874000766,0.003475155678360834,0.07763777372138264,0.0618895524691358
2022-10-08,50.80999186547504,18,0.0019626521908870744,0.011102982578397211,0.13138096175495223,0.1313809617549522,0.06869315213631114,0.004967615674996197,0.0002284400074640791,0.0044243741197602824,0.0879215814231218,0.06686236706689538
2022-10-08,54.52764194349633,19,0.0010982134211122666,0.009122059496567504,0.14623673144561686,0.1462367314456169,0.10326962634673623,0.0017445626168767002,0.00022024304332511442,0.0002684433899540689,0.09234313932508985,0.056369946319119735
2022-10-08,48.436955297470405,20,0.0002305296467819697,0.009569832335329341,0.12645152229597734,0.12645152229597734,0.07221466796756261,0.0017113715131184643,0.0002276570218772054,0.0002754015205295171,0.1005612575318526,0.05619000828383215
2022-10-08,46.32815870288552,21,0.0002504695262560657,0.009946181592039801,0.12214010634611427,0.12214010634611427,0.07844985879160474,0.0017235854158436877,0.00024015165526169782,0.0002956565981019388,0.09745346019242332,0.04875477557540283
2022-10-08,42.90496272468815,22,0.0002957986133493606,0.011065530145530147,0.1274722874091564,0.1274722874091564,0.07232851265319291,0.00160377124819029,0.00024040797317436666,0.00029710706829248794,0.07288560185840283,0.0508161404418538
2022-10-08,19.281578365753052,23,0.00037032088188907977,0.013317393483709269,0.04644512513654316,0.046445125136543156,0.03123579735172439,0.0012436915074663286,0.00024010869565217386,0.00029857021896660365,0.026482318603716748,0.06267037883790981
2022-10-08,9.55392925995358,24,0.0002585464741185296,0.008947646511627907,0.0002220169302380807,0.00022201693023808072,0.00019472430926482988,0.0007170307198282553,0.00023386847195357833,0.0002909594523346753,0.01161312149136143,0.09343054348551155
2022-10-09,6.14909626665354,1,2.265132960562477e-05,0.0007356475583864117,0.0004064121330955381,0.00040641213309553816,0.00017792348328866166,0.0002761568654797422,0.00022563664596273283,0.0002755430801082974,0.01722118621782192,0.05229162776386423
2022-10-09,6.10606447394648,2,5.636051826188549e-06,0.00016334448160535117,0.00020912630814401672,0.0002091263081440167,0.0001869391820227513,0.00025947838413111277,0.0002216924251097119,0.0002710945888357385,0.025500357864399283,0.0496032564926827
