Electric Grid Intensity, by Province (including Biomass & RNG CO2 emissions)/Intensité du réseau électrique par province (incluant les émissions de CO2 provenant de la biomasse et du gaz naturel renouvelable) 
"Region (English) / Région (anglais)","Region (French) / Région (français)","Units (English) / Unités (anglais)","Units (French) / Unités (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Alberta","Alberta","t CO2e/GWh","t d'éq CO2/GWh",972.6,1003.1,936.9,926.1,834.9,851.9,806.6,765.1,792.7,794,750.9,770.6,765.3,604.3,568.6,530.2,458.5,381.9,315.1,312.4,281.7,246.7,220.5,184,177.8,184.7,182.2,174.8,168.7,164.6,162,156.6,153,152.3,146.2,133.1,125.9,123.1,120.1,118,115.9,114.2,112.6,111.5,109.8,109.9
"British Columbia","Colombie-Britannique","t CO2e/GWh","t d'éq CO2/GWh",46.6,41,36.9,42,35.4,44.6,31.1,23.4,25,20,17.7,16,15.8,15.5,20,17.2,22,16.9,59.6,54.1,52.3,47,46.6,42.1,37.9,37,36.4,35.8,33.7,31.7,31.3,30.1,29.8,28.4,27.6,26,25.6,25.3,25,24.8,24.5,24.3,24.2,24,23.8,23.6
"Manitoba","Manitoba","t CO2e/GWh","t d'éq CO2/GWh",19.4,24,26.7,21,9.6,4.5,5.8,5.4,5.4,5.6,5.6,3.2,3.1,1.8,1.8,1.9,2.6,2.1,1.8,1.1,1.2,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"New Brunswick","Nouveau-Brunswick","t CO2e/GWh","t d'éq CO2/GWh",613,595.4,539,546.9,549.6,379.4,333.2,281.4,236.6,264.7,259.4,333.3,261.1,281.6,263,182.5,264.5,291,439.1,433.3,460,457.8,416.7,403.5,380.5,421.9,429.6,426.6,422.6,419.5,417.1,418,427,432.3,390.1,388.8,373.1,132.9,132.6,132.3,132.1,132.1,132,132,131.9,131.8
"Newfoundland and Labrador","Terre-Neuve-et-Labrador","t CO2e/GWh","t d'éq CO2/GWh",85.8,64.8,106.4,90.3,89.7,76.6,81.7,79.3,86,119.8,148.3,151.8,145.1,105.9,104.7,90.3,74.2,81.4,7.7,14,34.1,25.9,16.2,9.1,14.6,4,3.9,3.7,3.6,3.7,3.7,3.8,3.9,3.7,3.8,3.8,3.9,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"Northwest Territory","Territoires du Nord-Ouest","t CO2e/GWh","t d'éq CO2/GWh",303.6,275.4,304.7,263.2,205.1,236.3,226.1,115.4,190.2,241.7,352.2,196.2,189.8,202.7,186.1,191.8,192.6,215.5,234.9,174.9,28.7,5.4,10.3,3.8,3.1,2.5,0,0,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia","Nouvelle-Écosse","t CO2e/GWh","t d'éq CO2/GWh",969.9,1024.6,979,803.5,817.8,741.4,743,726.4,713.3,689.9,643.5,656.2,651.2,684.4,645.1,619.3,582.9,542.4,658.1,605.4,534.5,485.5,471.8,460,311.3,101.1,119.5,120.9,112.6,106.6,100.3,96.8,94.2,91.4,89.3,87.3,85.5,83.8,81.8,107.6,112.7,117.3,110.4,103.8,97.6,92.7
"Nunavut","Nunavut","t CO2e/GWh","t d'éq CO2/GWh",606,507.6,510.1,539,566.8,566.8,482.4,484.2,453.9,567.5,481.8,607.5,574.8,675.3,673.3,616.2,639.8,628.2,788.4,724.4,541.1,512.7,502.6,501.2,505.6,519.5,516.8,466,414.5,419.5,431.7,382.5,395.1,401.6,413.4,425.8,385.2,389.6,400.9,364.8,329.1,334.8,301.6,268.5,280.8,256.8
"Ontario","Ontario","t CO2e/GWh","t d'éq CO2/GWh",235.3,217.1,238.7,199.4,124.3,148,95.2,94.2,71.3,41,46.8,39.8,20.2,29.1,27.5,26.8,29,33,134.4,163.8,172.2,185,189,172.3,163.7,160.5,146.5,152.4,152.3,175.5,159.6,144.2,124,115.7,112.8,111.1,109.6,107.8,104.8,102.2,98.2,96.5,95.5,94.5,94,87
"Prince Edward Island","Île-du-Prince-Édouard","t CO2e/GWh","t d'éq CO2/GWh",5,8.4,4.8,4,5.3,1.6,1.1,9,3.2,3.4,11.3,3.5,6.5,2.1,0.8,0.2,1.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5
"Quebec","Québec","t CO2e/GWh","t d'éq CO2/GWh",11.3,10,13.3,7.8,9.9,2.4,2.7,2.5,1.4,1.5,1.3,1.5,1.4,1.4,6.4,1.8,1.5,1.3,23.2,22.8,22.6,22.6,22.5,22.4,22.2,22.1,22,21.8,21.6,21.5,21.3,21.1,20.8,20.6,20.4,20.2,20,19.8,19.6,19.4,19.2,19,18.8,18.6,18.4,18.2
"Saskatchewan","Saskatchewan","t CO2e/GWh","t d'éq CO2/GWh",860.6,813.3,803.3,769.7,872,846.4,797.5,807.8,685.3,700.2,736.8,721.4,703.2,720.6,698.6,615.7,692.9,648.2,547.2,565.6,520.8,504,480.7,351.2,318.3,117.8,120.2,119.9,112.6,103.4,86.6,79.9,76.3,72.2,84,80.4,76.9,63.7,53.9,46.3,41.9,37.5,35.1,32.4,30.5,29.4
